extend,number_of_states,RRT_execution_time,gripper_distance_cart,robot_distance_jointspace,path_exec_time
2.25,16,94,10.0512,29.5213,21.067
2.25,10,59,7.1913,19.243,15.4768
2.25,9,61,7.16763,14.5492,10.5109
2.25,8,57,6.14902,14.3187,13.2156
2.25,11,86,7.76834,18.4259,13.3603
2.25,10,76,9.02591,17.4284,13.142
2.25,8,51,6.94457,14.8124,10.1529
2.25,14,79,10.7748,25.2855,17.3169
2.25,8,30,4.87171,13.0432,11.1727
2.25,10,55,6.28419,19.4636,15.3483
2.25,10,139,7.7069,19.0309,13.3552
2.25,13,104,10.9317,25.3973,17.9959
2.25,12,66,6.92693,20.8338,14.1546
2.25,9,31,5.94727,14.307,12.1201
2.25,9,46,7.0307,15.9376,10.6394
2.25,9,38,6.32317,16.1344,12.232
2.25,8,44,5.34724,14.0428,11.2379
2.25,8,54,7.16086,13.8869,9.39314
2.25,11,98,7.67284,20.4194,16.437
2.25,10,70,7.28572,18.5826,13.023
2.25,10,47,6.90291,18.8563,14.4118
2.25,7,33,4.57861,12.3078,9.03327
2.25,7,30,5.6862,13.0982,9.59781
2.25,10,60,6.77745,17.0639,11.6735
2.25,12,54,6.73734,22.7899,19.6283
2.25,11,55,7.28556,20.3345,15.797
2.25,13,101,8.74432,24.3257,19.2922
2.25,11,219,6.93728,17.3926,12.5178
2.25,9,40,5.78864,16.3907,12.8105
2.25,8,27,5.47425,11.9822,9.80862
2.25,10,35,7.63545,19.4578,11.2597
2.25,14,75,7.07554,25.492,18.6598
2.25,14,107,8.74971,26.3798,21.5536
2.25,14,97,8.66969,26.823,19.2583
2.25,8,94,7.99462,15.6107,10.3247
2.25,9,51,7.47084,16.2537,12.086
2.25,12,66,9.49825,21.7952,16.0146
2.25,11,62,8.9933,21.791,15.5794
2.25,8,73,7.49679,13.8848,9.92938
2.25,12,62,7.84311,22.4694,16.8437
2.25,10,44,8.13671,19.391,15.6196
2.25,12,45,8.05381,21.1195,15.261
2.25,10,123,7.72556,18.8976,15.8706
2.25,7,57,5.82696,12.854,9.81552
2.25,11,99,9.72663,21.0798,14.3751
2.25,14,63,9.57054,24.8697,17.9741
2.25,10,65,5.71922,19.0959,15.2319
2.25,11,54,8.56194,21.5008,15.2111
2.25,9,61,5.92306,16.4933,13.2378
2.25,11,56,7.06802,21.3443,17.1265
2.25,7,38,5.71842,13.3363,9.45713
2.25,9,91,6.51928,16.8028,14.0468
2.25,11,58,7.42577,20.7514,16.6577
2.25,12,60,7.56066,20.9692,14.7729
2.25,10,91,6.0141,18.5076,11.3573
2.25,7,37,6.27027,12.2194,8.32264
2.25,7,56,5.61602,12.3068,9.98108
2.25,7,51,6.53882,13.2942,10.0198
2.25,11,62,7.24341,18.9631,14.7802
2.25,13,74,8.19532,24.4399,17.7757
2.25,6,29,5.76642,11.11,7.40423
2.25,9,58,8.57757,16.1462,11.8728
2.25,10,54,8.61357,18.3037,13.4366
2.25,9,47,7.69645,16.1746,12.4498
2.25,11,64,8.28123,18.3903,14.1756
2.25,13,69,7.57396,22.6771,16.7653
2.25,8,42,6.08393,14.8572,10.5984
2.25,11,135,8.8413,20.5438,14.2755
2.25,14,112,8.58021,26.8376,19.1951
2.25,14,110,9.58746,24.0458,18.512
2.25,10,37,5.83495,14.2174,10.6365
2.25,9,60,7.42293,17.1036,11.4365
2.25,10,59,6.31911,16.0257,12.4908
2.25,11,36,6.91334,20.1432,16.7088
2.25,11,65,8.73626,20.9848,17.2146
2.25,10,65,6.36623,18.1552,14.5617
2.25,7,33,5.44322,11.7816,7.65192
2.25,7,46,6.68179,13.3419,9.71555
2.25,7,32,5.70802,11.4426,10.1395
2.25,12,127,9.80382,21.7837,14.5632
2.25,12,70,8.84488,23.3626,15.0177
2.25,10,108,8.03636,18.3837,14.4252
2.25,9,89,8.76911,15.0234,11.9801
2.25,9,35,6.65606,16.1653,12.1259
2.25,17,113,11.0929,30.8884,22.9791
2.25,11,86,7.14761,20.4538,13.8182
2.25,19,122,11.8849,33.8944,24.7678
2.25,7,73,5.35164,13.3449,11.459
2.25,9,63,5.28263,17.3447,15.1867
2.25,11,73,6.94994,20.6075,15.3249
2.25,9,72,7.13648,15.6149,10.6305
2.25,15,155,10.904,26.1436,19.2203
2.25,12,65,6.49269,22.7878,16.466
2.25,13,90,7.31522,22.9306,16.1127
2.25,8,79,5.67917,12.5841,8.58344
2.25,11,49,7.31989,19.9138,14.3061
2.25,10,70,6.23813,15.5603,10.648
2.25,13,83,9.49035,25.0878,18.3292
2.25,6,19,6.1307,9.74546,6.76189
2.25,10,48,10.4653,18.1997,12.832
2.25,7,46,6.21036,12.7401,10.7869
2.25,13,103,8.42279,24.0219,16.7041
2.25,9,64,6.59121,16.6834,12.4514
2.25,8,48,7.03773,14.6435,11.1557
2.25,9,73,6.73816,16.408,12.7468
2.25,10,59,6.27971,16.876,13.8326
2.25,11,67,7.6178,20.6406,13.6628
2.25,11,56,8.25827,20.5514,15.3159
2.25,9,43,7.53967,14.8513,9.94989
2.25,15,115,9.5714,28.0164,18.9275
2.25,9,74,6.79226,15.8911,11.7024
2.25,9,88,9.52181,17.4648,11.6047
2.25,9,33,6.72473,15.7618,11.9557
2.25,9,37,5.01279,17.7821,13.4607
2.25,11,49,7.6277,20.1767,13.8303
