extend,number_of_states,RRT_execution_time,gripper_distance_cart,robot_distance_jointspace,path_exec_time
2.15,13,113,6.67257,20.9563,15.0543
2.15,11,38,5.53525,18.2502,15.749
2.15,13,103,9.2227,24.7811,15.8864
2.15,9,147,7.18489,16.4633,13.8901
2.15,12,104,9.83575,22.8771,16.395
2.15,10,70,6.87397,16.6185,11.8396
2.15,12,65,6.62664,19.2156,13.8594
2.15,11,58,8.54409,18.6917,13.4373
2.15,9,52,9.41088,15.844,9.83766
2.15,10,103,7.05854,16.6133,13.8199
2.15,9,126,6.1907,15.3916,11.8337
2.15,10,63,8.77037,18.5172,15.3672
2.15,9,39,6.44242,14.4918,9.8796
2.15,16,197,7.47431,29.892,20.8886
2.15,9,48,8.27979,13.6487,8.91168
2.15,12,103,8.00895,20.5732,13.3151
2.15,7,30,5.90089,11.3009,8.75661
2.15,16,101,11.0745,32.0579,21.5868
2.15,11,55,8.58863,17.8249,12.9222
2.15,12,109,7.74148,19.924,14.0935
2.15,12,64,7.9521,20.026,14.1232
2.15,11,74,9.01758,20.5022,14.5197
2.15,8,48,6.31413,14.2668,11.1713
2.15,11,102,8.74464,19.1113,15.4551
2.15,14,57,9.13469,25.0187,18.0417
2.15,10,56,7.83121,16.4175,13.9031
2.15,11,122,6.45322,19.558,15.4601
2.15,13,54,8.7723,23.3409,16.2613
2.15,12,72,8.05771,21.1288,15.2238
2.15,11,47,7.50969,18.3708,12.5023
2.15,11,178,8.62226,18.1822,13.6375
2.15,12,115,7.21496,20.9856,15.9508
2.15,10,73,7.42073,18.1074,15.5048
2.15,9,149,5.94478,13.977,11.1222
2.15,10,70,6.6654,16.0576,12.8633
2.15,8,38,6.39493,13.7569,10.6155
2.15,10,43,7.50351,18.8764,13.0588
2.15,10,58,6.76385,18.5612,13.9848
2.15,13,135,7.76683,21.9543,15.7809
2.15,16,245,10.5245,29.84,19.6925
2.15,11,61,8.33088,19.3499,16.3225
2.15,12,71,7.95931,21.7915,13.9524
2.15,8,81,5.92389,12.9342,11.2581
2.15,11,81,6.47395,18.1403,13.7298
2.15,13,70,7.1254,23.4607,17.3424
2.15,12,177,6.98901,18.7445,14.7547
2.15,11,40,6.40343,19.9773,15.2184
2.15,9,68,8.18834,15.8166,12.3991
2.15,8,80,5.52897,13.1261,10.0278
2.15,13,141,6.58607,21.3839,15.6707
2.15,12,160,7.99213,19.8134,14.2542
2.15,10,73,8.67087,16.8817,13.3065
2.15,13,98,7.87106,23.9601,17.0312
2.15,10,172,6.51872,15.8639,11.9755
2.15,10,65,7.42256,16.1787,12.9953
2.15,8,55,6.10349,13.3858,9.3075
2.15,14,81,10.1141,24.7097,18.745
2.15,13,61,7.93601,21.6618,16.1844
2.15,9,62,7.35261,14.8954,10.4163
2.15,11,70,7.17826,19.4647,16.3188
2.15,8,52,6.14385,12.9138,10.0962
2.15,11,81,7.6632,18.2886,13.5532
2.15,7,86,5.91396,12.1783,8.88193
2.15,14,72,10.8493,26.0254,19.5752
2.15,14,132,8.60926,24.2607,16.7382
2.15,14,123,7.68728,21.7616,13.9776
2.15,13,103,10.3814,25.1782,16.3366
2.15,14,150,8.88077,25.5137,21.3459
2.15,12,111,8.14833,22.9953,17.1246
2.15,15,135,8.17932,24.6138,15.9989
2.15,15,84,8.90833,28.4934,20.7001
2.15,10,59,6.85858,18.0659,15.1664
2.15,10,39,7.10413,16.6037,12.3639
2.15,12,87,8.53026,21.2944,14.9893
2.15,15,106,11.663,27.1822,17.2352
2.15,13,66,9.55502,24.7755,19.0209
2.15,16,106,13.0513,28.8278,20.2604
2.15,12,130,8.76574,22.9174,15.9414
2.15,9,49,6.26025,13.5952,11.5326
2.15,11,63,7.01444,19.4451,14.9001
2.15,12,141,9.80585,23.0664,16.8497
2.15,7,52,5.58751,11.5106,9.33305
2.15,10,95,6.90944,15.2209,11.1928
2.15,16,151,9.59132,28.5987,22.2392
2.15,8,74,5.48265,13.1656,9.64388
2.15,11,45,6.3608,20.6421,15.8259
2.15,7,61,7.23946,11.4726,9.3262
2.15,9,62,4.75929,15.0001,10.6107
2.15,8,36,4.84265,14.3917,12.0641
2.15,15,95,9.33167,23.8346,16.6139
2.15,11,98,7.70487,20.0479,13.9587
2.15,8,47,7.92897,13.1807,10.9891
2.15,10,34,5.76456,16.0342,12.9499
2.15,12,102,11.1534,22.4845,13.5262
2.15,11,201,7.70407,19.0622,14.0646
2.15,10,35,6.50763,17.11,12.8514
2.15,14,135,10.808,23.6355,15.5185
2.15,12,91,11.7332,21.8547,16.2583
2.15,12,51,7.40284,21.1021,13.6227
2.15,9,55,7.38675,16.8279,12.8863
2.15,11,172,8.11908,20.1286,14.1164
2.15,12,37,6.02108,21.0688,15.9664
2.15,11,108,6.06752,15.7633,13.0027
2.15,16,64,10.2781,25.4229,19.1949
2.15,9,131,5.96011,15.1449,12.7375
2.15,11,124,7.10407,18.48,13.5713
2.15,13,78,6.97713,23.0076,17.0377
2.15,11,54,6.94682,17.1749,12.0691
