extend,number_of_states,RRT_execution_time,gripper_distance_cart,robot_distance_jointspace,path_exec_time
0.95,19,85,9.56283,16.6224,11.0922
0.95,13,43,7.32463,11.3618,8.7864
0.95,14,53,6.35522,11.9112,7.92909
0.95,15,57,6.94109,12.6458,9.17219
0.95,13,39,7.4191,11.3964,7.78414
0.95,16,90,7.45576,13.9807,9.73848
0.95,15,54,7.52508,13.2035,9.75814
0.95,14,51,7.47289,12.0953,8.73683
0.95,16,40,8.25013,13.9622,10.1602
0.95,21,68,8.54865,18.9615,13.2191
0.95,15,59,7.80137,12.694,9.05612
0.95,22,152,9.42698,19.6384,13.7391
0.95,13,45,6.98357,10.9236,7.34233
0.95,14,30,8.69283,11.8388,7.61197
0.95,13,26,7.00845,11.0776,7.65785
0.95,17,52,6.37578,14.5236,10.8923
0.95,14,76,7.22325,11.4905,7.97055
0.95,16,57,7.8843,13.7689,9.76586
0.95,17,77,8.13126,14.9446,10.9982
0.95,14,48,7.97339,12.0278,8.35777
0.95,13,59,7.39547,11.0781,7.79458
0.95,15,40,7.47445,13.0851,10.3892
0.95,19,65,8.09155,16.1635,12.0528
0.95,13,40,7.23907,10.4742,7.71613
0.95,16,54,8.30148,14.1738,9.47568
0.95,17,130,8.18498,15.1673,11.3562
0.95,15,71,7.46336,13.2601,8.67718
0.95,18,69,8.29347,15.4484,11.1475
0.95,13,25,7.219,10.9622,7.99492
0.95,14,52,7.97075,12.0321,7.68624
0.95,13,23,7.15253,11.1159,7.5661
0.95,16,52,8.7183,13.5139,10.0902
0.95,20,79,10.7385,17.1469,12.3057
0.95,14,43,6.85196,12.1995,7.93878
0.95,13,41,7.44598,11.093,7.51219
0.95,15,75,7.00375,12.6932,10.066
0.95,12,28,6.83748,9.98846,7.22081
0.95,21,83,10.6591,18.1201,12.905
0.95,15,46,7.64883,12.8169,8.12224
0.95,13,40,7.47209,11.3593,7.97919
0.95,14,166,7.3934,12.2102,9.32413
0.95,13,51,7.02099,10.7431,8.09595
0.95,13,30,6.78707,11.221,7.4205
0.95,20,66,8.08689,17.6749,13.9876
0.95,17,68,7.60827,14.3642,10.4128
0.95,21,96,9.12621,18.2442,13.084
0.95,20,53,8.46284,17.496,12.6963
0.95,14,38,7.36497,11.5205,8.19808
0.95,13,42,7.84955,11.0556,7.44161
0.95,20,80,8.50082,17.4469,11.5251
0.95,14,27,7.85767,11.5951,8.14908
0.95,18,68,9.15956,15.7249,11.6525
0.95,14,58,7.56413,12.1582,8.54162
0.95,15,51,7.3981,13.0732,10.0488
0.95,18,92,8.74006,15.3125,11.3856
0.95,15,65,7.01115,13.2643,9.35285
0.95,15,77,7.91755,13.1256,8.42175
0.95,13,35,7.96444,11.1603,7.55705
0.95,21,129,10.2909,18.2742,12.33
0.95,14,40,7.95196,12.2173,8.80881
0.95,17,40,8.50357,14.5063,9.73733
0.95,13,23,8.47114,11.28,7.795
0.95,16,63,9.4067,13.9318,9.50639
0.95,13,33,6.90863,10.9303,7.40854
0.95,15,60,7.283,12.7263,9.9962
0.95,15,31,7.79448,12.5465,7.35347
0.95,17,64,7.88221,14.6286,10.6146
0.95,20,243,8.88805,17.9503,14.0905
0.95,15,59,6.74153,13.0252,9.17851
0.95,16,101,8.02694,13.514,9.79929
0.95,14,58,7.61279,11.4607,8.7891
0.95,14,46,6.84989,11.9629,9.66779
0.95,14,39,6.99112,11.8182,8.97425
0.95,15,69,7.73909,12.3904,9.34384
0.95,14,49,7.10195,12.23,8.18227
0.95,12,27,6.86723,9.65268,6.43884
0.95,15,159,7.25798,12.368,9.17076
0.95,13,25,7.627,10.9335,8.12795
0.95,18,175,8.8492,15.3678,10.9891
0.95,13,28,7.42078,10.5097,6.93441
0.95,21,74,10.4287,18.2015,13.5482
0.95,17,51,8.29615,14.7227,10.5269
0.95,17,159,7.45963,14.491,11.4196
0.95,13,74,7.28148,11.1634,8.14991
0.95,16,63,6.74014,13.8629,10.2247
0.95,13,41,7.33721,11.1752,7.57755
0.95,20,84,7.98424,17.2136,12.2503
0.95,17,91,7.9419,14.4064,11.6513
0.95,17,87,8.19048,14.9163,11.6139
0.95,15,45,7.52602,12.5885,9.33977
0.95,14,49,7.21677,11.6145,8.53163
0.95,13,35,7.10358,11.0763,7.92898
0.95,19,162,8.60443,16.8121,12.5367
0.95,16,36,7.94569,13.7803,10.2552
0.95,13,26,6.60571,10.7185,7.48171
0.95,17,73,8.86897,14.8299,11.2537
0.95,13,30,6.9197,11.257,8.20379
0.95,19,93,8.44888,16.8612,12.1808
0.95,15,77,9.64114,13.2339,8.97262
0.95,14,63,7.08311,12.3171,8.30409
0.95,13,25,7.56139,11.2028,7.66849
0.95,15,82,7.47165,12.7313,9.53624
0.95,16,65,7.36627,13.84,10.7886
0.95,20,131,8.93306,17.517,12.9924
0.95,15,54,7.72914,12.8797,10.2813
0.95,14,33,7.02194,11.941,9.12925
0.95,14,42,7.42729,11.65,8.34316
0.95,14,32,7.27654,11.8118,7.20382
0.95,12,28,6.90719,9.96588,6.4319
0.95,12,26,6.27695,9.69653,6.71026
0.95,15,35,7.48354,12.7318,8.17363
0.95,18,103,8.93697,15.6143,11.8833
0.95,17,67,8.33466,14.7085,10.4447
0.95,15,49,6.97205,12.7318,9.746
0.95,13,31,6.7199,10.4508,7.18049
0.95,20,60,9.54801,17.6661,13.118
0.95,13,29,7.16993,11.3904,7.5283
0.95,17,85,7.47579,15.0742,11.9826
0.95,19,97,8.92424,16.861,10.6434
0.95,17,82,8.43273,14.9018,11.3899
0.95,13,22,6.8732,10.7141,7.62582
0.95,16,57,9.35265,13.4239,9.40523
0.95,16,49,8.49383,13.64,8.66577
0.95,22,84,9.85699,19.1325,12.5554
0.95,13,32,6.48227,11.3001,8.46108
0.95,16,54,7.83717,13.4283,9.5996
0.95,15,46,7.21809,13.159,10.3417
0.95,14,36,7.58184,12.2064,9.516
0.95,21,63,8.25826,18.165,13.6939
0.95,16,44,9.22477,14.1868,9.35807
0.95,20,255,8.58886,17.4129,11.9615
0.95,15,35,7.4348,13.2991,9.45403
0.95,12,24,6.8593,10.1828,6.76237
0.95,18,119,8.14129,15.7773,12.3206
0.95,15,45,7.63372,12.6312,9.01354
0.95,13,22,7.24755,10.8933,8.16808
0.95,13,28,7.12343,10.7135,7.02921
0.95,13,51,7.53137,11.2735,7.77738
0.95,14,38,6.46635,12.0536,8.05769
0.95,16,69,8.90221,13.5689,9.51131
0.95,14,91,7.40211,11.5991,9.0453
0.95,14,31,7.1496,12.2156,8.03548
0.95,14,56,7.5668,12.2417,8.26391
0.95,16,77,8.31965,13.8514,9.86453
0.95,15,52,6.89571,12.4495,9.30598
0.95,19,325,9.63774,16.8545,11.6186
0.95,20,148,9.05012,17.122,12.9536
0.95,21,113,11.2789,18.7828,14.039
0.95,15,25,7.75858,12.5488,8.79281
0.95,14,33,7.35145,12.1162,7.50916
0.95,16,98,9.05353,13.7143,8.54312
0.95,15,46,8.11858,12.4336,8.76726
0.95,19,58,9.37336,16.7536,12.8598
0.95,17,57,8.19689,14.93,10.8789
0.95,14,32,7.70342,12.3183,9.10079
0.95,24,112,10.5298,21.4802,14.9592
0.95,22,134,9.49311,18.9156,12.6912
0.95,18,128,8.89864,15.4614,10.0724
0.95,16,66,7.01057,13.4944,9.3912
0.95,14,31,7.35771,11.7134,7.97868
0.95,21,148,9.39183,18.714,13.2717
0.95,13,32,7.35772,10.8012,7.61452
0.95,13,37,6.49311,11.0402,7.43303
0.95,17,111,8.57988,14.5063,9.54897
0.95,17,152,8.80925,14.4114,10.6373
0.95,18,81,8.87923,15.3842,10.5737
0.95,14,31,7.19867,11.4577,8.05205
0.95,19,76,9.53309,16.9438,10.2905
0.95,14,41,7.48027,11.8932,8.60956
0.95,16,48,7.56093,13.7215,10.7782
0.95,15,40,7.10778,12.6348,8.31975
0.95,14,52,8.42989,12.2007,8.88414
0.95,20,87,10.3344,17.8327,12.4981
0.95,15,56,7.7284,12.9059,8.96916
0.95,21,86,9.4603,18.6173,13.7393
0.95,20,137,7.81253,17.2804,13.0488
0.95,13,25,7.23474,10.5474,7.48239
0.95,17,64,8.71653,15.0868,12.4373
0.95,16,52,7.73381,13.8385,10.6518
0.95,14,31,7.77947,11.968,7.27935
0.95,14,24,6.97757,12.0414,9.55398
0.95,15,42,8.31911,12.8743,8.40663
0.95,15,33,8.34955,12.6655,8.79775
0.95,14,38,8.2866,11.908,9.20277
0.95,14,24,7.5542,12.2462,9.24868
0.95,13,42,6.45974,11.3163,8.39357
0.95,13,50,7.60903,11.1416,7.33591
0.95,22,160,9.94492,19.3911,13.7373
0.95,15,92,7.28077,13.1256,9.6586
0.95,16,99,8.15942,14.0997,11.2081
0.95,13,27,6.45212,10.6329,7.28632
0.95,15,62,8.21373,13.177,9.46925
0.95,14,41,7.21037,11.5278,9.18282
0.95,17,121,9.05871,15.1611,10.7145
0.95,17,45,7.63698,14.2596,9.17963
0.95,13,25,7.7295,10.9957,7.69489
0.95,14,56,6.96217,12.2043,9.3282
0.95,18,73,8.09474,15.8285,11.154
